id,title,format,retention,substance,series,production,overall,verdict,words_en,estimated_seconds_en,locales,strength,risk
pos-l01,Why Being Good At Your Job Isn't Enough,long,9.4,9.8,9.6,9.4,9.5,LIGHT_REVISION,1466,586.4,DE/EN/FR/IT/PT,Strong core tension: competence vs perceived expertise.,Needs one more vivid real-world failure/success contrast early to maximize cold-viewer retention.
pos-l02,How To Find Your Niche Without Making Yourself Too Small,long,9.5,9.8,9.6,9.4,9.6,READY,1504,601.6,DE/EN/FR/IT/PT,Resolves a common fear and gives a useful niche-as-entry-strategy frame.,Middle section is concept-dense; one recurring case study would improve narrative propulsion.
pos-l03,How To Position Yourself As An Expert From Zero,long,9.3,9.7,9.5,9.3,9.4,LIGHT_REVISION,1479,591.6,DE/EN/FR/IT/PT,Practical evidence-over-label thesis with strong credibility discipline.,Broad topic and familiar advice; needs a sharper transformation arc or unusual case example.
pos-l04,The Content Strategy That Makes People Remember You,long,9.7,9.8,9.8,9.7,9.7,READY,1495,598.0,DE/EN/FR/IT/PT,Highly series-relevant thesis with strong recognition-vs-volume distinction.,Minor risk of abstraction; visual examples should carry the middle.
pos-l05,Why Writing A Book Can Make You The Expert,long,9.2,9.7,9.1,9.2,9.3,LIGHT_REVISION,1543,617.2,DE/EN/FR/IT/PT,"Credible, nuanced authority-building argument that avoids “book = expert” hype.",Narrower addressable audience and lower cold-feed urgency; hook should foreground a surprising business payoff.
pos-l06,How To Reposition Yourself When Your Business Changes,long,9.7,9.8,9.7,9.7,9.7,READY,1512,604.8,DE/EN/FR/IT/PT,Excellent memory-gap tension and a clear observable outcome for repositioning.,Needs disciplined visuals to avoid becoming a talking-head lecture.
osc-l01,A Good Business Starts With The Right Business Model,long,9.7,9.9,9.7,9.6,9.7,READY,1514,605.6,DE/EN/ES/FR/IT/PT,Strong counterintuitive hook and concrete unit-economics stress test.,Keep financial examples simple enough for fast comprehension.
osc-l02,Your Ideal Customer Is Not Everyone,long,9.3,9.8,9.4,9.3,9.4,LIGHT_REVISION,1526,610.4,DE/EN/ES/FR/IT/PT,Operationalizes customer definition around need/context/signal rather than demographics.,Very familiar headline territory; requires fresher examples and stronger pattern interruption.
osc-l03,People Don't Buy Your Product They Buy The Promise,long,9.4,9.8,9.5,9.4,9.5,LIGHT_REVISION,1508,603.2,DE/EN/ES/FR/IT/PT,Strong translation from product features to lived outcome with credibility guardrails.,Theme is common in marketing content; differentiation must come from examples and visual proof.
osc-l04,How To Build An Offer People Actually Want,long,9.6,9.9,9.7,9.6,9.7,READY,1545,618.0,DE/EN/ES/FR/IT/PT,Clear friction-reduction system and strong buyer-journey utility.,Avoid stacking too many checklist items without concrete before/after demonstrations.
