language,locale,episode,arc,title,score,gate,continuity_remediation,deep_showrunner_rewrite
en,en-US,E001,1,Seven Minutes,9.73,PASS,False,False
en,en-US,E002,1,The Dead Woman,9.73,PASS,False,False
en,en-US,E003,1,She Knew,9.69,PASS,False,False
en,en-US,E004,1,The Second Video,9.73,PASS,False,False
en,en-US,E005,1,Do Not Save Him,9.69,PASS,False,False
en,en-US,E006,1,Nora Who?,9.69,PASS,False,False
en,en-US,E007,1,Another Receiver,9.73,PASS,False,False
en,en-US,E008,1,The Detective,9.69,PASS,False,False
en,en-US,E009,1,His First Prediction,9.69,PASS,False,False
en,en-US,E010,1,Nora’s Phone,9.73,PASS,False,False
en,en-US,E011,2,The Gun,9.66,PASS,False,False
en,en-US,E012,2,While You Slept,9.66,PASS,False,False
en,en-US,E013,2,The Relay,9.76,PASS,True,True
en,en-US,E014,2,Receiver Seventeen,9.76,PASS,True,True
en,en-US,E015,2,Receiver Sixteen,9.76,PASS,True,True
en,en-US,E016,2,One of Us,9.66,PASS,False,False
en,en-US,E017,2,Field Observer,9.66,PASS,False,False
en,en-US,E018,2,The Red Door,9.66,PASS,False,False
en,en-US,E019,2,Blind Spot,9.66,PASS,False,False
en,en-US,E020,2,Inside the Apartment,9.66,PASS,False,False
en,en-US,E021,3,The Sleeping Maya,9.67,PASS,False,False
en,en-US,E022,3,Where Is Clara?,9.67,PASS,False,False
en,en-US,E023,3,The Annex,9.67,PASS,False,False
en,en-US,E024,3,Tomorrow’s Photograph,9.67,PASS,False,False
en,en-US,E025,3,Maya Built AHEAD,9.67,PASS,False,False
en,en-US,E026,3,You Are Early,9.67,PASS,False,False
en,en-US,E027,3,Seven Minutes Away,9.67,PASS,False,False
en,en-US,E028,3,After Tonight,9.67,PASS,False,False
en,en-US,E029,3,Ethan Receives,9.67,PASS,False,False
en,en-US,E030,3,The Detonator,9.67,PASS,False,False
en,en-US,E031,4,Seven-Minute Bomb,9.58,PASS,False,False
en,en-US,E032,4,Jonah Reed,9.68,PASS,True,True
en,en-US,E033,4,Version Seventeen,9.68,PASS,False,True
en,en-US,E034,4,Initiates Return,9.58,PASS,False,False
en,en-US,E035,4,The Cost,9.58,PASS,False,False
en,en-US,E036,4,Dr. Vale,9.58,PASS,False,False
en,en-US,E037,4,Return Protocol,9.58,PASS,False,False
en,en-US,E038,4,Jonah Must Die,9.58,PASS,False,False
en,en-US,E039,4,Silas Ward,9.58,PASS,False,False
