episode,id,arc,arc_name,title,hook,cliffhanger_beat,characters,location,locale,wpm,word_count,estimated_seconds,timing_gate,editorial_score,editorial_gate,source_authority
1,E001,1,El móvil imposible,Siete minutos,Maya ve morir a su novio en el móvil siete minutos antes de que ocurra.,A su lado yace una mujer desconocida. Hora: 20:14.,Maya Vale|Ethan Cole,apartment/street,es-ES,155,151,58.5,PASS,9.72,PASS,EN-v5
2,E002,1,El móvil imposible,La mujer muerta,"Dentro de siete minutos, Ethan estará cubierto con la sangre de una desconocida.",Maya se queda helada. «¿Recibo qué?» La mujer pierde el conocimiento.,Maya Vale|Ethan Cole,parking garage,es-ES,155,149,57.7,PASS,9.72,PASS,EN-v5
3,E003,1,El móvil imposible,Ella lo sabía,"Una desconocida moribunda conoce el secreto de Maya, y alguien quiere silenciarla antes de que pueda explicarlo.",Maya se gira. Ethan también ha visto la reacción de Nora. Maya jamás le dijo que hubiera un segundo vídeo.,Maya Vale|Ethan Cole|Nora Reyes,hospital,es-ES,155,149,57.7,PASS,9.68,PASS,EN-v5
4,E004,1,El móvil imposible,El segundo vídeo,El móvil de Maya muestra dos futuros distintos para los mismos siete minutos.,Una última frase aparece debajo: AHORA VEAMOS QUÉ ESTÁS DISPUESTA A SACRIFICAR.,Maya Vale|Ethan Cole,apartment hallway,es-ES,155,152,58.8,PASS,9.72,PASS,EN-v5
5,E005,1,El móvil imposible,No lo salves,El siguiente vídeo del futuro da a Maya una sola orden: dejar morir a un desconocido.,"Él mira por encima de su hombro, hacia Ethan. «¿Te envió Nora?»",Maya Vale|Ethan Cole|Nora Reyes,city street,es-ES,155,146,56.5,PASS,9.68,PASS,EN-v5
6,E006,1,El móvil imposible,¿Nora quién?,"Un hombre al que Maya acaba de salvar conoce a su mejor amiga, pero Nora jura que nunca lo ha visto.",Adrian observa el clip y palidece. «Dice que tú eres la razón por la que muero.»,Maya Vale|Ethan Cole|Nora Reyes,street/cafe,es-ES,155,152,58.8,PASS,9.68,PASS,EN-v5
7,E007,1,El móvil imposible,Otro receptor,El móvil de otro receptor dice que Maya lo matará dentro de siete minutos.,Nunca se han visto. «¿Por qué estaba usted en tres incidentes antes de que ocurrieran?»,Maya Vale|Ethan Cole|Detective Daniel Cross,cafe,es-ES,155,159,61.5,PASS,9.72,PASS,EN-v5
8,E008,1,El móvil imposible,El detective,Un detective de homicidios solo quiere saber una cosa: ¿cómo llega Maya antes que el crimen?,"Pierde el color del rostro. «¿Desde cuándo», susurra, «recibe usted estos vídeos?»",Maya Vale|Ethan Cole|Detective Daniel Cross,police interview room,es-ES,155,146,56.5,PASS,9.68,PASS,EN-v5
9,E009,1,El móvil imposible,Su primera predicción,"El detective vio la misma aplicación imposible hace tres años, en el móvil de un hombre muerto.",Maya lleva dos años con Ethan. Daniel lo observa y comprende que acaba de entrar otro secreto en el caso. Ethan nunca mencionó una hermana desaparecida.,Maya Vale|Ethan Cole|Detective Daniel Cross,police office,es-ES,155,150,58.1,PASS,9.68,PASS,EN-v5
10,E010,1,El móvil imposible,El móvil de Nora,Maya descubre que la persona en quien más confía lleva mucho más tiempo recibiendo vídeos del futuro.,«No.» Alguien llama a la puerta del apartamento.,Maya Vale|Nora Reyes|Ethan Cole,apartment,es-ES,155,150,58.1,PASS,9.72,PASS,EN-v5
