storyId,format,locale,path,wordCount,wpm,estimatedSeconds,minWords,maxWords,timingPass
osc-l01,long,de,content/long/de/osc-01-a-good-business-starts-with-the-right-business-model.md,1462,145,604.97,1378,1522,True
osc-l01,long,es,content/long/es/osc-01-a-good-business-starts-with-the-right-business-model.md,1517,150,606.8,1425,1575,True
osc-l01,long,fr,content/long/fr/osc-01-a-good-business-starts-with-the-right-business-model.md,1498,150,599.2,1425,1575,True
osc-l01,long,it,content/long/it/osc-01-a-good-business-starts-with-the-right-business-model.md,1494,150,597.6,1425,1575,True
osc-l01,long,pt,content/long/pt/osc-01-a-good-business-starts-with-the-right-business-model.md,1517,150,606.8,1425,1575,True
osc-l02,long,de,content/long/de/osc-02-your-ideal-customer-is-not-everyone.md,1440,145,595.86,1378,1522,True
osc-l02,long,es,content/long/es/osc-02-your-ideal-customer-is-not-everyone.md,1474,150,589.6,1425,1575,True
osc-l02,long,fr,content/long/fr/osc-02-your-ideal-customer-is-not-everyone.md,1555,150,622.0,1425,1575,True
osc-l02,long,it,content/long/it/osc-02-your-ideal-customer-is-not-everyone.md,1497,150,598.8,1425,1575,True
osc-l02,long,pt,content/long/pt/osc-02-your-ideal-customer-is-not-everyone.md,1477,150,590.8,1425,1575,True
osc-l03,long,de,content/long/de/osc-03-people-dont-buy-your-product-they-buy-the-promise.md,1463,145,605.38,1378,1522,True
osc-l03,long,es,content/long/es/osc-03-people-dont-buy-your-product-they-buy-the-promise.md,1509,150,603.6,1425,1575,True
osc-l03,long,fr,content/long/fr/osc-03-people-dont-buy-your-product-they-buy-the-promise.md,1573,150,629.2,1425,1575,True
osc-l03,long,it,content/long/it/osc-03-people-dont-buy-your-product-they-buy-the-promise.md,1494,150,597.6,1425,1575,True
osc-l03,long,pt,content/long/pt/osc-03-people-dont-buy-your-product-they-buy-the-promise.md,1455,150,582.0,1425,1575,True
osc-l04,long,de,content/long/de/osc-04-how-to-build-an-offer-people-actually-want.md,1490,145,616.55,1378,1522,True
osc-l04,long,es,content/long/es/osc-04-how-to-build-an-offer-people-actually-want.md,1514,150,605.6,1425,1575,True
osc-l04,long,fr,content/long/fr/osc-04-how-to-build-an-offer-people-actually-want.md,1502,150,600.8,1425,1575,True
osc-l04,long,it,content/long/it/osc-04-how-to-build-an-offer-people-actually-want.md,1507,150,602.8,1425,1575,True
osc-l04,long,pt,content/long/pt/osc-04-how-to-build-an-offer-people-actually-want.md,1535,150,614.0,1425,1575,True
osc-l05,long,de,content/long/de/osc-05-stop-improving-the-marketing-fix-the-product.md,1404,145,580.97,1378,1522,True
osc-l05,long,es,content/long/es/osc-05-stop-improving-the-marketing-fix-the-product.md,1468,150,587.2,1425,1575,True
osc-l05,long,fr,content/long/fr/osc-05-stop-improving-the-marketing-fix-the-product.md,1533,150,613.2,1425,1575,True
osc-l05,long,it,content/long/it/osc-05-stop-improving-the-marketing-fix-the-product.md,1460,150,584.0,1425,1575,True
osc-l05,long,pt,content/long/pt/osc-05-stop-improving-the-marketing-fix-the-product.md,1452,150,580.8,1425,1575,True
osc-l06,long,de,content/long/de/osc-06-attention-is-not-conversion.md,1422,145,588.41,1378,1522,True
osc-l06,long,es,content/long/es/osc-06-attention-is-not-conversion.md,1480,150,592.0,1425,1575,True
osc-l06,long,fr,content/long/fr/osc-06-attention-is-not-conversion.md,1507,150,602.8,1425,1575,True
osc-l06,long,it,content/long/it/osc-06-attention-is-not-conversion.md,1523,150,609.2,1425,1575,True
osc-l06,long,pt,content/long/pt/osc-06-attention-is-not-conversion.md,1465,150,586.0,1425,1575,True
osc-l07,long,de,content/long/de/osc-07-why-selling-feels-difficult.md,1518,145,628.14,1378,1522,True
osc-l07,long,es,content/long/es/osc-07-why-selling-feels-difficult.md,1534,150,613.6,1425,1575,True
osc-l07,long,fr,content/long/fr/osc-07-why-selling-feels-difficult.md,1475,150,590.0,1425,1575,True
osc-l07,long,it,content/long/it/osc-07-why-selling-feels-difficult.md,1491,150,596.4,1425,1575,True
osc-l07,long,pt,content/long/pt/osc-07-why-selling-feels-difficult.md,1540,150,616.0,1425,1575,True
osc-l08,long,de,content/long/de/osc-08-sales-without-chasing-everyone.md,1487,145,615.31,1378,1522,True
osc-l08,long,es,content/long/es/osc-08-sales-without-chasing-everyone.md,1463,150,585.2,1425,1575,True
osc-l08,long,fr,content/long/fr/osc-08-sales-without-chasing-everyone.md,1573,150,629.2,1425,1575,True
osc-l08,long,it,content/long/it/osc-08-sales-without-chasing-everyone.md,1456,150,582.4,1425,1575,True
osc-l08,long,pt,content/long/pt/osc-08-sales-without-chasing-everyone.md,1505,150,602.0,1425,1575,True
pos-l01,long,de,content/long/de/pos-01-why-being-good-at-your-job-isnt-enough.md,1395,145,577.24,1378,1522,True
pos-l01,long,es,content/long/es/pos-01-why-being-good-at-your-job-isnt-enough.md,1552,150,620.8,1425,1575,True
pos-l01,long,fr,content/long/fr/pos-01-why-being-good-at-your-job-isnt-enough.md,1549,150,619.6,1425,1575,True
pos-l01,long,it,content/long/it/pos-01-why-being-good-at-your-job-isnt-enough.md,1428,150,571.2,1425,1575,True
pos-l01,long,pt,content/long/pt/pos-01-why-being-good-at-your-job-isnt-enough.md,1511,150,604.4,1425,1575,True
pos-l02,long,de,content/long/de/pos-02-how-to-find-your-niche-without-making-yourself-too-small.md,1498,145,619.86,1378,1522,True
pos-l02,long,es,content/long/es/pos-02-how-to-find-your-niche-without-making-yourself-too-small.md,1551,150,620.4,1425,1575,True
pos-l02,long,fr,content/long/fr/pos-02-how-to-find-your-niche-without-making-yourself-too-small.md,1575,150,630.0,1425,1575,True
pos-l02,long,it,content/long/it/pos-02-how-to-find-your-niche-without-making-yourself-too-small.md,1467,150,586.8,1425,1575,True
pos-l02,long,pt,content/long/pt/pos-02-how-to-find-your-niche-without-making-yourself-too-small.md,1476,150,590.4,1425,1575,True
pos-l03,long,de,content/long/de/pos-03-how-to-position-yourself-as-an-expert-from-zero.md,1473,145,609.52,1378,1522,True
pos-l03,long,es,content/long/es/pos-03-how-to-position-yourself-as-an-expert-from-zero.md,1428,150,571.2,1425,1575,True
pos-l03,long,fr,content/long/fr/pos-03-how-to-position-yourself-as-an-expert-from-zero.md,1523,150,609.2,1425,1575,True
pos-l03,long,it,content/long/it/pos-03-how-to-position-yourself-as-an-expert-from-zero.md,1428,150,571.2,1425,1575,True
pos-l03,long,pt,content/long/pt/pos-03-how-to-position-yourself-as-an-expert-from-zero.md,1461,150,584.4,1425,1575,True
pos-l04,long,de,content/long/de/pos-04-the-content-strategy-that-makes-people-remember-you.md,1485,145,614.48,1378,1522,True
pos-l04,long,es,content/long/es/pos-04-the-content-strategy-that-makes-people-remember-you.md,1543,150,617.2,1425,1575,True
pos-l04,long,fr,content/long/fr/pos-04-the-content-strategy-that-makes-people-remember-you.md,1544,150,617.6,1425,1575,True
pos-l04,long,it,content/long/it/pos-04-the-content-strategy-that-makes-people-remember-you.md,1434,150,573.6,1425,1575,True
pos-l04,long,pt,content/long/pt/pos-04-the-content-strategy-that-makes-people-remember-you.md,1456,150,582.4,1425,1575,True
pos-l05,long,de,content/long/de/pos-05-why-writing-a-book-can-make-you-the-expert.md,1520,145,628.97,1378,1522,True
pos-l05,long,es,content/long/es/pos-05-why-writing-a-book-can-make-you-the-expert.md,1575,150,630.0,1425,1575,True
pos-l05,long,fr,content/long/fr/pos-05-why-writing-a-book-can-make-you-the-expert.md,1569,150,627.6,1425,1575,True
pos-l05,long,it,content/long/it/pos-05-why-writing-a-book-can-make-you-the-expert.md,1511,150,604.4,1425,1575,True
pos-l05,long,pt,content/long/pt/pos-05-why-writing-a-book-can-make-you-the-expert.md,1521,150,608.4,1425,1575,True
pos-l06,long,de,content/long/de/pos-06-how-to-reposition-yourself-when-your-business-changes.md,1513,145,626.07,1378,1522,True
pos-l06,long,es,content/long/es/pos-06-how-to-reposition-yourself-when-your-business-changes.md,1507,150,602.8,1425,1575,True
pos-l06,long,fr,content/long/fr/pos-06-how-to-reposition-yourself-when-your-business-changes.md,1575,150,630.0,1425,1575,True
pos-l06,long,it,content/long/it/pos-06-how-to-reposition-yourself-when-your-business-changes.md,1497,150,598.8,1425,1575,True
pos-l06,long,pt,content/long/pt/pos-06-how-to-reposition-yourself-when-your-business-changes.md,1499,150,599.6,1425,1575,True
tx-l004,long,de,content/long/de/tx-l004.md,1402,145,580.14,1378,1522,True
tx-l004,long,es,content/long/es/tx-l004.md,1471,150,588.4,1425,1575,True
tx-l004,long,fr,content/long/fr/tx-l004.md,1569,150,627.6,1425,1575,True
tx-l004,long,it,content/long/it/tx-l004.md,1430,150,572.0,1425,1575,True
tx-l004,long,pt,content/long/pt/tx-l004.md,1456,150,582.4,1425,1575,True
tx-l011,long,de,content/long/de/tx-l011.md,1420,145,587.59,1378,1522,True
tx-l011,long,es,content/long/es/tx-l011.md,1490,150,596.0,1425,1575,True
tx-l011,long,fr,content/long/fr/tx-l011.md,1561,150,624.4,1425,1575,True
tx-l011,long,it,content/long/it/tx-l011.md,1471,150,588.4,1425,1575,True
tx-l011,long,pt,content/long/pt/tx-l011.md,1499,150,599.6,1425,1575,True
tx-l018,long,de,content/long/de/tx-l018.md,1409,145,583.03,1378,1522,True
tx-l018,long,es,content/long/es/tx-l018.md,1510,150,604.0,1425,1575,True
tx-l018,long,fr,content/long/fr/tx-l018.md,1570,150,628.0,1425,1575,True
tx-l018,long,it,content/long/it/tx-l018.md,1460,150,584.0,1425,1575,True
tx-l018,long,pt,content/long/pt/tx-l018.md,1523,150,609.2,1425,1575,True
tx-l050,long,de,content/long/de/tx-l050.md,1471,145,608.69,1378,1522,True
tx-l050,long,es,content/long/es/tx-l050.md,1560,150,624.0,1425,1575,True
tx-l050,long,fr,content/long/fr/tx-l050.md,1573,150,629.2,1425,1575,True
tx-l050,long,it,content/long/it/tx-l050.md,1522,150,608.8,1425,1575,True
tx-l050,long,pt,content/long/pt/tx-l050.md,1561,150,624.4,1425,1575,True
osc-s01a,short,de,content/shorts/de/osc-01a-revenue-is-not-a-good-business.md,220,150,88.0,218,233,True
osc-s01a,short,es,content/shorts/es/osc-01a-revenue-is-not-a-good-business.md,229,155,88.65,225,240,True
osc-s01a,short,fr,content/shorts/fr/osc-01a-revenue-is-not-a-good-business.md,240,155,92.9,225,240,True
osc-s01a,short,it,content/shorts/it/osc-01a-revenue-is-not-a-good-business.md,229,155,88.65,225,240,True
osc-s01a,short,pt,content/shorts/pt/osc-01a-revenue-is-not-a-good-business.md,232,155,89.81,225,240,True
osc-s01b,short,de,content/shorts/de/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md,226,150,90.4,218,233,True
osc-s01b,short,es,content/shorts/es/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md,235,155,90.97,225,240,True
osc-s01b,short,fr,content/shorts/fr/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md,231,155,89.42,225,240,True
osc-s01b,short,it,content/shorts/it/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md,231,155,89.42,225,240,True
osc-s01b,short,pt,content/shorts/pt/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md,232,155,89.81,225,240,True
osc-s02a,short,de,content/shorts/de/osc-02a-stop-targeting-everyone.md,227,150,90.8,218,233,True
osc-s02a,short,es,content/shorts/es/osc-02a-stop-targeting-everyone.md,232,155,89.81,225,240,True
osc-s02a,short,fr,content/shorts/fr/osc-02a-stop-targeting-everyone.md,239,155,92.52,225,240,True
osc-s02a,short,it,content/shorts/it/osc-02a-stop-targeting-everyone.md,233,155,90.19,225,240,True
osc-s02a,short,pt,content/shorts/pt/osc-02a-stop-targeting-everyone.md,233,155,90.19,225,240,True
osc-s02b,short,de,content/shorts/de/osc-02b-stop-posting-where-your-customers-arent.md,220,150,88.0,218,233,True
osc-s02b,short,es,content/shorts/es/osc-02b-stop-posting-where-your-customers-arent.md,225,155,87.1,225,240,True
osc-s02b,short,fr,content/shorts/fr/osc-02b-stop-posting-where-your-customers-arent.md,240,155,92.9,225,240,True
osc-s02b,short,it,content/shorts/it/osc-02b-stop-posting-where-your-customers-arent.md,227,155,87.87,225,240,True
osc-s02b,short,pt,content/shorts/pt/osc-02b-stop-posting-where-your-customers-arent.md,226,155,87.48,225,240,True
osc-s03a,short,de,content/shorts/de/osc-03a-what-does-your-customer-really-buy.md,227,150,90.8,218,233,True
osc-s03a,short,es,content/shorts/es/osc-03a-what-does-your-customer-really-buy.md,228,155,88.26,225,240,True
osc-s03a,short,fr,content/shorts/fr/osc-03a-what-does-your-customer-really-buy.md,237,155,91.74,225,240,True
osc-s03a,short,it,content/shorts/it/osc-03a-what-does-your-customer-really-buy.md,230,155,89.03,225,240,True
osc-s03a,short,pt,content/shorts/pt/osc-03a-what-does-your-customer-really-buy.md,234,155,90.58,225,240,True
osc-s03b,short,de,content/shorts/de/osc-03b-the-promise-formula.md,224,150,89.6,218,233,True
osc-s03b,short,es,content/shorts/es/osc-03b-the-promise-formula.md,237,155,91.74,225,240,True
osc-s03b,short,fr,content/shorts/fr/osc-03b-the-promise-formula.md,240,155,92.9,225,240,True
osc-s03b,short,it,content/shorts/it/osc-03b-the-promise-formula.md,234,155,90.58,225,240,True
osc-s03b,short,pt,content/shorts/pt/osc-03b-the-promise-formula.md,229,155,88.65,225,240,True
osc-s04a,short,de,content/shorts/de/osc-04a-why-good-products-still-dont-sell.md,225,150,90.0,218,233,True
osc-s04a,short,es,content/shorts/es/osc-04a-why-good-products-still-dont-sell.md,229,155,88.65,225,240,True
osc-s04a,short,fr,content/shorts/fr/osc-04a-why-good-products-still-dont-sell.md,237,155,91.74,225,240,True
osc-s04a,short,it,content/shorts/it/osc-04a-why-good-products-still-dont-sell.md,234,155,90.58,225,240,True
osc-s04a,short,pt,content/shorts/pt/osc-04a-why-good-products-still-dont-sell.md,232,155,89.81,225,240,True
osc-s04b,short,de,content/shorts/de/osc-04b-make-your-offer-easier-to-buy.md,219,150,87.6,218,233,True
osc-s04b,short,es,content/shorts/es/osc-04b-make-your-offer-easier-to-buy.md,230,155,89.03,225,240,True
osc-s04b,short,fr,content/shorts/fr/osc-04b-make-your-offer-easier-to-buy.md,240,155,92.9,225,240,True
osc-s04b,short,it,content/shorts/it/osc-04b-make-your-offer-easier-to-buy.md,236,155,91.35,225,240,True
osc-s04b,short,pt,content/shorts/pt/osc-04b-make-your-offer-easier-to-buy.md,234,155,90.58,225,240,True
osc-s05a,short,de,content/shorts/de/osc-05a-marketing-may-not-be-the-problem.md,224,150,89.6,218,233,True
osc-s05a,short,es,content/shorts/es/osc-05a-marketing-may-not-be-the-problem.md,232,155,89.81,225,240,True
osc-s05a,short,fr,content/shorts/fr/osc-05a-marketing-may-not-be-the-problem.md,237,155,91.74,225,240,True
osc-s05a,short,it,content/shorts/it/osc-05a-marketing-may-not-be-the-problem.md,234,155,90.58,225,240,True
osc-s05a,short,pt,content/shorts/pt/osc-05a-marketing-may-not-be-the-problem.md,233,155,90.19,225,240,True
osc-s05b,short,de,content/shorts/de/osc-05b-too-many-choices-kill-the-offer.md,221,150,88.4,218,233,True
osc-s05b,short,es,content/shorts/es/osc-05b-too-many-choices-kill-the-offer.md,231,155,89.42,225,240,True
osc-s05b,short,fr,content/shorts/fr/osc-05b-too-many-choices-kill-the-offer.md,233,155,90.19,225,240,True
osc-s05b,short,it,content/shorts/it/osc-05b-too-many-choices-kill-the-offer.md,234,155,90.58,225,240,True
osc-s05b,short,pt,content/shorts/pt/osc-05b-too-many-choices-kill-the-offer.md,232,155,89.81,225,240,True
osc-s06a,short,de,content/shorts/de/osc-06a-views-are-not-sales.md,218,150,87.2,218,233,True
osc-s06a,short,es,content/shorts/es/osc-06a-views-are-not-sales.md,226,155,87.48,225,240,True
osc-s06a,short,fr,content/shorts/fr/osc-06a-views-are-not-sales.md,237,155,91.74,225,240,True
osc-s06a,short,it,content/shorts/it/osc-06a-views-are-not-sales.md,233,155,90.19,225,240,True
osc-s06a,short,pt,content/shorts/pt/osc-06a-views-are-not-sales.md,236,155,91.35,225,240,True
osc-s06b,short,de,content/shorts/de/osc-06b-trust-comes-before-conversion.md,227,150,90.8,218,233,True
osc-s06b,short,es,content/shorts/es/osc-06b-trust-comes-before-conversion.md,234,155,90.58,225,240,True
osc-s06b,short,fr,content/shorts/fr/osc-06b-trust-comes-before-conversion.md,234,155,90.58,225,240,True
osc-s06b,short,it,content/shorts/it/osc-06b-trust-comes-before-conversion.md,233,155,90.19,225,240,True
osc-s06b,short,pt,content/shorts/pt/osc-06b-trust-comes-before-conversion.md,231,155,89.42,225,240,True
osc-s07a,short,de,content/shorts/de/osc-07a-why-selling-feels-uncomfortable.md,225,150,90.0,218,233,True
osc-s07a,short,es,content/shorts/es/osc-07a-why-selling-feels-uncomfortable.md,234,155,90.58,225,240,True
osc-s07a,short,fr,content/shorts/fr/osc-07a-why-selling-feels-uncomfortable.md,237,155,91.74,225,240,True
osc-s07a,short,it,content/shorts/it/osc-07a-why-selling-feels-uncomfortable.md,233,155,90.19,225,240,True
osc-s07a,short,pt,content/shorts/pt/osc-07a-why-selling-feels-uncomfortable.md,233,155,90.19,225,240,True
osc-s07b,short,de,content/shorts/de/osc-07b-selling-isnt-manipulation.md,222,150,88.8,218,233,True
osc-s07b,short,es,content/shorts/es/osc-07b-selling-isnt-manipulation.md,226,155,87.48,225,240,True
osc-s07b,short,fr,content/shorts/fr/osc-07b-selling-isnt-manipulation.md,233,155,90.19,225,240,True
osc-s07b,short,it,content/shorts/it/osc-07b-selling-isnt-manipulation.md,234,155,90.58,225,240,True
osc-s07b,short,pt,content/shorts/pt/osc-07b-selling-isnt-manipulation.md,227,155,87.87,225,240,True
osc-s08a,short,de,content/shorts/de/osc-08a-stop-chasing-customers.md,226,150,90.4,218,233,True
osc-s08a,short,es,content/shorts/es/osc-08a-stop-chasing-customers.md,229,155,88.65,225,240,True
osc-s08a,short,fr,content/shorts/fr/osc-08a-stop-chasing-customers.md,228,155,88.26,225,240,True
osc-s08a,short,it,content/shorts/it/osc-08a-stop-chasing-customers.md,232,155,89.81,225,240,True
osc-s08a,short,pt,content/shorts/pt/osc-08a-stop-chasing-customers.md,234,155,90.58,225,240,True
osc-s08b,short,de,content/shorts/de/osc-08b-prospecting-without-being-annoying.md,224,150,89.6,218,233,True
osc-s08b,short,es,content/shorts/es/osc-08b-prospecting-without-being-annoying.md,226,155,87.48,225,240,True
osc-s08b,short,fr,content/shorts/fr/osc-08b-prospecting-without-being-annoying.md,240,155,92.9,225,240,True
osc-s08b,short,it,content/shorts/it/osc-08b-prospecting-without-being-annoying.md,234,155,90.58,225,240,True
osc-s08b,short,pt,content/shorts/pt/osc-08b-prospecting-without-being-annoying.md,225,155,87.1,225,240,True
pos-l01-s01,short,de,content/shorts/de/pos-l01-s01-being-good-isnt-enough.md,219,150,87.6,218,233,True
pos-l01-s01,short,es,content/shorts/es/pos-l01-s01-being-good-isnt-enough.md,240,155,92.9,225,240,True
pos-l01-s01,short,fr,content/shorts/fr/pos-l01-s01-being-good-isnt-enough.md,239,155,92.52,225,240,True
pos-l01-s01,short,it,content/shorts/it/pos-l01-s01-being-good-isnt-enough.md,225,155,87.1,225,240,True
pos-l01-s01,short,pt,content/shorts/pt/pos-l01-s01-being-good-isnt-enough.md,227,155,87.87,225,240,True
pos-l01-s02,short,de,content/shorts/de/pos-l01-s02-expertise-vs-perception.md,225,150,90.0,218,233,True
pos-l01-s02,short,es,content/shorts/es/pos-l01-s02-expertise-vs-perception.md,228,155,88.26,225,240,True
pos-l01-s02,short,fr,content/shorts/fr/pos-l01-s02-expertise-vs-perception.md,239,155,92.52,225,240,True
pos-l01-s02,short,it,content/shorts/it/pos-l01-s02-expertise-vs-perception.md,239,155,92.52,225,240,True
pos-l01-s02,short,pt,content/shorts/pt/pos-l01-s02-expertise-vs-perception.md,230,155,89.03,225,240,True
pos-l01-s03,short,de,content/shorts/de/pos-l01-s03-what-do-people-remember-you-for.md,222,150,88.8,218,233,True
pos-l01-s03,short,es,content/shorts/es/pos-l01-s03-what-do-people-remember-you-for.md,230,155,89.03,225,240,True
pos-l01-s03,short,fr,content/shorts/fr/pos-l01-s03-what-do-people-remember-you-for.md,236,155,91.35,225,240,True
pos-l01-s03,short,it,content/shorts/it/pos-l01-s03-what-do-people-remember-you-for.md,227,155,87.87,225,240,True
pos-l01-s03,short,pt,content/shorts/pt/pos-l01-s03-what-do-people-remember-you-for.md,232,155,89.81,225,240,True
pos-l02-s01,short,de,content/shorts/de/pos-l02-s01-selling-to-everyone-is-the-problem.md,230,150,92.0,218,233,True
pos-l02-s01,short,es,content/shorts/es/pos-l02-s01-selling-to-everyone-is-the-problem.md,240,155,92.9,225,240,True
pos-l02-s01,short,fr,content/shorts/fr/pos-l02-s01-selling-to-everyone-is-the-problem.md,240,155,92.9,225,240,True
pos-l02-s01,short,it,content/shorts/it/pos-l02-s01-selling-to-everyone-is-the-problem.md,239,155,92.52,225,240,True
