format,language,file,words,wpm,estimatedSeconds,publicPass,internalGuardPass
long,en,long/en/01-a-good-business-starts-with-the-right-business-model.md,1514,150,605.6,True,True
long,en,long/en/02-your-ideal-customer-is-not-everyone.md,1526,150,610.4,True,True
long,en,long/en/03-people-dont-buy-your-product-they-buy-the-promise.md,1508,150,603.2,True,True
long,en,long/en/04-how-to-build-an-offer-people-actually-want.md,1545,150,618.0,True,True
long,en,long/en/05-stop-improving-the-marketing-fix-the-product.md,1465,150,586.0,True,True
long,en,long/en/06-attention-is-not-conversion.md,1548,150,619.2,True,True
long,en,long/en/07-why-selling-feels-difficult.md,1480,150,592.0,True,True
long,en,long/en/08-sales-without-chasing-everyone.md,1510,150,604.0,True,True
long,de,long/de/01-a-good-business-starts-with-the-right-business-model.md,1461,145,604.55,True,True
long,de,long/de/02-your-ideal-customer-is-not-everyone.md,1440,145,595.86,True,True
long,de,long/de/03-people-dont-buy-your-product-they-buy-the-promise.md,1461,145,604.55,True,True
long,de,long/de/04-how-to-build-an-offer-people-actually-want.md,1488,145,615.72,True,True
long,de,long/de/05-stop-improving-the-marketing-fix-the-product.md,1402,145,580.14,True,True
long,de,long/de/06-attention-is-not-conversion.md,1421,145,588.0,True,True
long,de,long/de/07-why-selling-feels-difficult.md,1495,145,618.62,True,True
long,de,long/de/08-sales-without-chasing-everyone.md,1484,145,614.07,True,True
long,es,long/es/01-a-good-business-starts-with-the-right-business-model.md,1517,150,606.8,True,True
long,es,long/es/02-your-ideal-customer-is-not-everyone.md,1474,150,589.6,True,True
long,es,long/es/03-people-dont-buy-your-product-they-buy-the-promise.md,1507,150,602.8,True,True
long,es,long/es/04-how-to-build-an-offer-people-actually-want.md,1514,150,605.6,True,True
long,es,long/es/05-stop-improving-the-marketing-fix-the-product.md,1468,150,587.2,True,True
long,es,long/es/06-attention-is-not-conversion.md,1480,150,592.0,True,True
long,es,long/es/07-why-selling-feels-difficult.md,1482,150,592.8,True,True
long,es,long/es/08-sales-without-chasing-everyone.md,1463,150,585.2,True,True
long,it,long/it/01-a-good-business-starts-with-the-right-business-model.md,1493,150,597.2,True,True
long,it,long/it/02-your-ideal-customer-is-not-everyone.md,1497,150,598.8,True,True
long,it,long/it/03-people-dont-buy-your-product-they-buy-the-promise.md,1494,150,597.6,True,True
long,it,long/it/04-how-to-build-an-offer-people-actually-want.md,1506,150,602.4,True,True
long,it,long/it/05-stop-improving-the-marketing-fix-the-product.md,1460,150,584.0,True,True
long,it,long/it/06-attention-is-not-conversion.md,1523,150,609.2,True,True
long,it,long/it/07-why-selling-feels-difficult.md,1474,150,589.6,True,True
long,it,long/it/08-sales-without-chasing-everyone.md,1456,150,582.4,True,True
long,fr,long/fr/01-a-good-business-starts-with-the-right-business-model.md,1460,150,584.0,True,True
long,fr,long/fr/02-your-ideal-customer-is-not-everyone.md,1492,150,596.8,True,True
long,fr,long/fr/03-people-dont-buy-your-product-they-buy-the-promise.md,1543,150,617.2,True,True
long,fr,long/fr/04-how-to-build-an-offer-people-actually-want.md,1462,150,584.8,True,True
long,fr,long/fr/05-stop-improving-the-marketing-fix-the-product.md,1490,150,596.0,True,True
long,fr,long/fr/06-attention-is-not-conversion.md,1456,150,582.4,True,True
long,fr,long/fr/07-why-selling-feels-difficult.md,1529,150,611.6,True,True
long,fr,long/fr/08-sales-without-chasing-everyone.md,1544,150,617.6,True,True
long,pt,long/pt/01-a-good-business-starts-with-the-right-business-model.md,1516,150,606.4,True,True
long,pt,long/pt/02-your-ideal-customer-is-not-everyone.md,1477,150,590.8,True,True
long,pt,long/pt/03-people-dont-buy-your-product-they-buy-the-promise.md,1455,150,582.0,True,True
long,pt,long/pt/04-how-to-build-an-offer-people-actually-want.md,1534,150,613.6,True,True
long,pt,long/pt/05-stop-improving-the-marketing-fix-the-product.md,1452,150,580.8,True,True
long,pt,long/pt/06-attention-is-not-conversion.md,1465,150,586.0,True,True
long,pt,long/pt/07-why-selling-feels-difficult.md,1493,150,597.2,True,True
long,pt,long/pt/08-sales-without-chasing-everyone.md,1504,150,601.6,True,True
shorts,en,shorts/en/01a-revenue-is-not-a-good-business.md,184,155,71.23,True,True
shorts,en,shorts/en/01b-if-you-stop-working-does-your-revenue-stop-too.md,192,155,74.32,True,True
shorts,en,shorts/en/02a-stop-targeting-everyone.md,216,155,83.61,True,True
shorts,en,shorts/en/02b-stop-posting-where-your-customers-arent.md,175,155,67.74,True,True
shorts,en,shorts/en/03a-what-does-your-customer-really-buy.md,194,155,75.1,True,True
shorts,en,shorts/en/03b-the-promise-formula.md,169,155,65.42,True,True
shorts,en,shorts/en/04a-why-good-products-still-dont-sell.md,206,155,79.74,True,True
