story_id,epic_id,title,actor,priority,journeys,story
VER-001,VER-EP-01,Create an episode,Creator,P0,"VJ-01,VJ-12","As a creator, I want to create a Veronica episode with a working title and production defaults so that I can start from a canonical revision."
VER-002,VER-EP-01,Clone an episode safely,Creator,P1,"VJ-01,VJ-08","As a creator, I want to clone a prior episode as a new draft so that I can reuse structure without mutating the original."
VER-003,VER-EP-01,Version episode changes,Creator,P0,"VJ-01,VJ-07,VJ-08","As a creator, I want material edits to create a new production revision so that approved history remains auditable."
VER-004,VER-EP-01,Archive an episode,Creator,P1,"VJ-01,VJ-12","As a creator, I want to archive an episode without deleting its lineage so that inactive work is removed from normal queues."
VER-005,VER-EP-01,Apply versioned genre defaults,System,P0,"VJ-01,VJ-14","As the production system, I want every run to capture the effective Veronica genre configuration so that output is reproducible."
VER-010,VER-EP-02,Upload mixed source assets,Creator,P0,VJ-02,"As a creator, I want to attach PDFs, slide decks, documents, images, and screenshots so that the episode can be source-driven."
VER-011,VER-EP-02,Deduplicate identical sources,System,P0,"VJ-02,VJ-09","As the system, I want identical source content deduplicated so that extraction and storage are not repeated."
VER-012,VER-EP-02,Extract source structure,System,P0,VJ-02,"As the system, I want to extract page/slide/text/media structure so that downstream agents can reason about source material."
VER-013,VER-EP-02,Classify source usage policy,Creator,P0,"VJ-02,VJ-04","As a creator, I want to mark assets as mandatory, optional, context-only, or forbidden-for-display so that the agent respects editorial constraints."
VER-014,VER-EP-02,Reuse prior extraction,System,P1,"VJ-02,VJ-08","As the system, I want unchanged source extraction reused so that repeated runs do not incur duplicate processing."
VER-015,VER-EP-02,Track source-to-output lineage,Reviewer,P0,"VJ-02,VJ-07","As a reviewer, I want to see which source items influenced narration and visuals so that I can audit the episode."
VER-020,VER-EP-03,Generate episode outline,Creator,P0,"VJ-01,VJ-03","As a creator, I want an outline derived from the episode and sources so that the story has a coherent structure."
VER-021,VER-EP-03,Generate duration-bounded narration,Creator,P0,VJ-03,"As a creator, I want narration targeted to the requested duration so that the render fits the intended format."
VER-022,VER-EP-03,Adapt source wording,Creator,P0,VJ-03,"As a creator, I want the agent to adapt and reorganize supplied wording so that the episode is coherent rather than a verbatim slideshow."
VER-023,VER-EP-03,Produce TTS-safe narration,System,P0,"VJ-03,VJ-07","As the system, I want a clean spoken script so that TTS does not read markdown headings or production metadata."
VER-024,VER-EP-03,Edit narration manually,Editor,P0,"VJ-03,VJ-08","As an editor, I want to edit narration and preserve the diff so that human corrections remain auditable."
