contentId,hook,retentionStructure,clarityValueDensity,payoff,youtubeProductionReadiness,overall
L01-S01,9.6,9.4,9.7,9.5,9.2,9.48
L01-S02,9.5,9.3,9.7,9.5,9.2,9.44
L01-S03,9.3,9.2,9.6,9.5,9.1,9.34
L02-S01,9.6,9.4,9.7,9.5,9.2,9.48
L02-S02,9.2,9.2,9.6,9.4,9.1,9.3
L02-S03,9.3,9.2,9.7,9.5,9.1,9.36
L03-S01,9.5,9.4,9.7,9.5,9.2,9.46
L03-S02,9.5,9.4,9.7,9.6,9.2,9.48
L03-S03,9.7,9.6,9.8,9.7,9.3,9.62
L04-S01,9.6,9.6,9.8,9.7,9.3,9.6
L04-S02,9.7,9.6,9.8,9.6,9.3,9.6
L04-S03,9.6,9.5,9.7,9.7,9.3,9.56
L05-S01,9.2,9.2,9.6,9.4,9.1,9.3
L05-S02,9.5,9.3,9.7,9.6,9.2,9.46
L05-S03,9.5,9.5,9.7,9.7,9.3,9.54
L06-S01,9.7,9.6,9.7,9.7,9.3,9.6
L06-S02,9.7,9.5,9.8,9.7,9.3,9.6
L06-S03,9.4,9.4,9.7,9.6,9.2,9.46
