id,title,format,retention,substance,series,production,overall,verdict,words_en,estimated_seconds_en,locales,strength,risk
pos-l01,Why Being Good At Your Job Isn't Enough,long,9.7,9.8,9.7,9.6,9.7,READY,1501,600.4,DE/EN/FR/IT/PT,Concrete two-consultant cold open turns competence-vs-perception into an immediate buying-decision problem.,Remediated: early abstraction replaced with a vivid comparison; no material editorial blocker remains.
pos-l02,How To Find Your Niche Without Making Yourself Too Small,long,9.5,9.8,9.6,9.4,9.6,READY,1504,601.6,DE/EN/FR/IT/PT,Resolves a common fear and gives a useful niche-as-entry-strategy frame.,Middle section is concept-dense; one recurring case study would improve narrative propulsion.
pos-l03,How To Position Yourself As An Expert From Zero,long,9.7,9.8,9.7,9.6,9.7,READY,1456,582.4,DE/EN/FR/IT/PT,UX-to-conversion opening makes the evidence-over-title thesis tangible from the first beat.,Remediated: transformation arc now starts with a concrete identity/evidence mismatch.
pos-l04,The Content Strategy That Makes People Remember You,long,9.7,9.8,9.8,9.7,9.7,READY,1495,598.0,DE/EN/FR/IT/PT,Highly series-relevant thesis with strong recognition-vs-volume distinction.,Minor risk of abstraction; visual examples should carry the middle.
pos-l05,Why Writing A Book Can Make You The Expert,long,9.6,9.8,9.6,9.6,9.7,READY,1575,630.0,DE/EN/FR/IT/PT,Sales-call field-guide scenario foregrounds the commercial authority mechanism instead of the act of publishing.,"Remediated: niche topic now opens on a broader business payoff; still best later in the season, not as a launch episode."
pos-l06,How To Reposition Yourself When Your Business Changes,long,9.7,9.8,9.7,9.7,9.7,READY,1512,604.8,DE/EN/FR/IT/PT,Excellent memory-gap tension and a clear observable outcome for repositioning.,Needs disciplined visuals to avoid becoming a talking-head lecture.
osc-l01,A Good Business Starts With The Right Business Model,long,9.7,9.9,9.7,9.6,9.7,READY,1515,606.0,DE/EN/ES/FR/IT/PT,Strong counterintuitive hook and concrete unit-economics stress test.,Keep financial examples simple enough for fast comprehension.
osc-l02,Your Ideal Customer Is Not Everyone,long,9.7,9.8,9.7,9.6,9.7,READY,1526,610.4,DE/EN/ES/FR/IT/PT,Same-product/different-motive opening immediately demonstrates why demographic personas fail.,Remediated: familiar targeting premise now has a concrete pattern interrupt and operational test.
osc-l03,People Don't Buy Your Product They Buy The Promise,long,9.7,9.8,9.7,9.6,9.7,READY,1515,606.0,DE/EN/ES/FR/IT/PT,Airport-hotel example makes value translation visible before the framework is introduced.,Remediated: common promise thesis now differentiates through a concrete lived-outcome contrast.
osc-l04,How To Build An Offer People Actually Want,long,9.6,9.9,9.7,9.6,9.7,READY,1546,618.4,DE/EN/ES/FR/IT/PT,Clear friction-reduction system and strong buyer-journey utility.,Avoid stacking too many checklist items without concrete before/after demonstrations.
osc-l05,Stop Improving The Marketing Fix The Product,long,9.7,9.9,9.8,9.7,9.8,READY,1465,586.0,DE/EN/ES/FR/IT/PT,Excellent diagnostic tension and falsifiable validation mindset.,No material editorial blocker; maintain brisk pacing through the diagnostic sections.
osc-l06,Attention Is Not Conversion,long,9.9,9.9,9.9,9.8,9.9,READY,1546,618.4,DE/EN/ES/FR/IT/PT,"Best-in-pack framing: instantly understandable, measurable, and highly relevant to creators/businesses.",Only risk is over-explaining the funnel after the thesis is already proven.
osc-l07,Why Selling Feels Difficult,long,9.5,9.8,9.6,9.5,9.6,READY,1479,591.6,DE/EN/ES/FR/IT/PT,Human tension around money/rejection gives the topic emotional accessibility.,Needs concrete scenes/dialogue to keep it from drifting into generalized coaching.
osc-l08,Sales Without Chasing Everyone,long,9.6,9.8,9.8,9.5,9.7,READY,1511,604.4,DE/EN/ES/FR/IT/PT,Strong systems framing and useful prospecting path with explicit stop rules.,Concept load is high; show one prospect moving through the path rather than only explaining stages.
tx-l004,How to Differentiate When Everyone Offers the Same Thing,long,9.8,9.9,9.8,9.7,9.8,READY,1476,590.4,EN only,Excellent anti-adjective hook and a genuinely useful mechanism-based differentiation thesis.,No major story blocker; prioritize visual comparisons to maintain momentum.
tx-l011,Build a Signature Method People Can Understand and Buy,long,9.7,9.9,9.9,9.6,9.8,READY,1522,608.8,EN only,"Very strong consultant-specific problem, clear mechanism, and commercial payoff.",Could use one memorable named example of a weak method becoming a strong one.
tx-l018,The Psychology of Memorable Business Storytelling,long,9.6,9.9,9.7,9.7,9.7,READY,1526,610.4,EN only,Narrative topic naturally supports narrative delivery and visual variety.,Must demonstrate the storytelling principles rather than merely enumerate them.
tx-l050,The Expert Business Flywheel: Positioning → Offer → Content → Sales → Retention,long,9.4,9.9,9.9,9.4,9.6,READY,1518,607.2,EN only,Excellent capstone architecture and strong series-level coherence.,As a cold standalone video it is dense; best published after viewers know the component ideas.
pos-l01-s01,Being Good Isn't Enough,short,9.5,9.8,9.5,9.5,9.6,READY,232,89.8,DE/EN/FR/IT/PT,Immediate competence-vs-perception conflict with a clear takeaway.,Still slightly lecture-like; add a visual/client-choice beat in the first third.
pos-l01-s02,Expertise Vs Perception,short,9.7,9.8,9.6,9.6,9.7,READY,230,89.0,DE/EN/FR/IT/PT,Strong “delete the label” test creates an interactive viewer challenge.,Keep proof examples visually distinct to avoid list fatigue.
pos-l01-s03,What Do People Remember You For,short,9.8,9.8,9.7,9.7,9.8,READY,229,88.6,DE/EN/FR/IT/PT,Excellent audience-participation test with measurable external feedback.,No material story blocker.
pos-l02-s01,Selling To Everyone Is The Problem,short,9.7,9.8,9.6,9.7,9.7,READY,235,91.0,DE/EN/FR/IT/PT,Concrete broad-homepage failure makes the cost of “for everyone” immediately visible before the niche framework.,Remediated: familiar niche advice now opens on a recognizable failed message rather than an abstract principle.
pos-l02-s02,Why Smaller Niches Can Make You Bigger,short,9.7,9.8,9.7,9.7,9.7,READY,226,87.5,DE/EN/FR/IT/PT,"Counterintuitive headline plus a strong “wedge, not prison” payoff.",No material story blocker.
pos-l02-s03,Market Problem Solution Test,short,9.5,9.8,9.5,9.5,9.6,READY,229,88.6,DE/EN/FR/IT/PT,Useful three-part diagnostic that viewers can apply immediately.,Framework is valuable but visually static; needs a concrete worked example.
pos-l03-s01,You Can't Just Call Yourself An Expert,short,9.7,9.8,9.7,9.6,9.7,READY,226,87.5,DE/EN/FR/IT/PT,"Unsupported “expert” profile becomes a visible failure case, followed by an evidence-based repair.",Remediated: predictable title-first opening replaced with a specific credibility failure.
pos-l03-s02,Three Signals To Build From Zero,short,9.7,9.7,9.7,9.6,9.7,READY,235,91.0,DE/EN/FR/IT/PT,Two-consultant contrast plus hotel-booking mini-case makes the three-signal framework memorable and testable.,Remediated: no longer reads as generic three-tip content.
pos-l03-s03,Your Website Has Five Seconds,short,9.9,9.8,9.7,9.9,9.8,READY,239,92.5,DE/EN/FR/IT/PT,"Exceptional hook, built-in experiment, strong visuals, immediate actionability.",No material story blocker.
pos-l04-s01,Stop Posting Random Content,short,9.7,9.8,9.7,9.7,9.7,READY,229,88.6,DE/EN/FR/IT/PT,Strong creator pain point and useful content-territory mechanism.,No material story blocker; show the topic tree visually.
pos-l04-s02,The Goal Is Recognition Not Views,short,9.9,9.9,9.9,9.9,9.9,READY,230,89.0,DE/EN/FR/IT/PT,Excellent contrarian creator thesis with clear metric substitution and strong series identity.,No material story blocker.
pos-l04-s03,Make Other People Talk About Your Expertise,short,9.8,9.8,9.8,9.7,9.8,READY,235,91.0,DE/EN/FR/IT/PT,Memorable referral test and highly differentiated “portable position” concept.,No major blocker; open with the referral scene visually.
pos-l05-s01,You Don't Need A Publisher,short,9.6,9.8,9.6,9.6,9.7,READY,234,90.6,DE/EN/FR/IT/PT,Prospect-choice scenario reframes self-publishing as portable evidence rather than publishing advice.,Remediated: cold-feed stakes strengthened; topic remains intentionally narrower than core positioning episodes.
pos-l05-s02,Don't Write A Book About Everything You Know,short,9.6,9.8,9.6,9.6,9.7,READY,237,91.7,DE/EN/FR/IT/PT,Year-long overbroad-book failure case makes the positioning cost concrete before the framework.,Remediated: stronger failure example and recommendation test create urgency.
pos-l05-s03,One Book Can Become Fifty Pieces Of Content,short,9.6,9.8,9.4,9.7,9.6,READY,240,92.9,DE/EN/FR/IT/PT,Concrete repurposing math gives the book topic broader creator relevance.,Avoid turning the middle into a rapid list; use one chapter visually branching into assets.
pos-l06-s01,Your Audience Remembers The Old You,short,9.9,9.8,9.8,9.8,9.8,READY,234,90.6,DE/EN/FR/IT/PT,Strong emotional/professional tension and an instantly recognizable repositioning problem.,No material story blocker.
pos-l06-s02,Changing Your Bio Isn't Repositioning,short,9.7,9.8,9.7,9.7,9.7,READY,231,89.4,DE/EN/FR/IT/PT,Excellent concise distinction between text change and memory change.,No material story blocker.
pos-l06-s03,Change What People Know You For,short,9.8,9.9,9.8,9.8,9.8,READY,233,90.2,DE/EN/FR/IT/PT,"Ninety-day OLD/NEW/NEITHER audit is concrete, ownable, and visual.",No material story blocker.
osc-s01a,Revenue Is Not A Good Business,short,9.9,9.9,9.8,9.8,9.9,READY,229,88.6,DE/EN/ES/FR/IT/PT,Powerful counterintuitive business hook with simple unit-economics proof.,No material story blocker; show the €100→€5 example immediately.
