id,format,words,estimated_seconds,pass
osc-l01,long,1515,606.0,True
osc-l02,long,1526,610.4,True
osc-l03,long,1515,606.0,True
osc-l04,long,1546,618.4,True
osc-l05,long,1465,586.0,True
osc-l06,long,1546,618.4,True
osc-l07,long,1479,591.6,True
osc-l08,long,1511,604.4,True
pos-l01,long,1501,600.4,True
pos-l02,long,1504,601.6,True
pos-l03,long,1456,582.4,True
pos-l04,long,1495,598.0,True
pos-l05,long,1575,630.0,True
pos-l06,long,1512,604.8,True
tx-l004,long,1476,590.4,True
tx-l011,long,1522,608.8,True
tx-l018,long,1526,610.4,True
tx-l050,long,1518,607.2,True
osc-s01a,short,229,88.6,True
osc-s01b,short,233,90.2,True
osc-s02a,short,226,87.5,True
osc-s02b,short,228,88.3,True
osc-s03a,short,234,90.6,True
osc-s03b,short,240,92.9,True
osc-s04a,short,232,89.8,True
osc-s04b,short,235,91.0,True
osc-s05a,short,234,90.6,True
osc-s05b,short,234,90.6,True
osc-s06a,short,235,91.0,True
osc-s06b,short,230,89.0,True
osc-s07a,short,233,90.2,True
osc-s07b,short,230,89.0,True
osc-s08a,short,233,90.2,True
osc-s08b,short,228,88.3,True
pos-l01-s01,short,232,89.8,True
pos-l01-s02,short,230,89.0,True
pos-l01-s03,short,229,88.6,True
pos-l02-s01,short,235,91.0,True
pos-l02-s02,short,226,87.5,True
pos-l02-s03,short,229,88.6,True
pos-l03-s01,short,226,87.5,True
pos-l03-s02,short,235,91.0,True
pos-l03-s03,short,239,92.5,True
pos-l04-s01,short,229,88.6,True
pos-l04-s02,short,230,89.0,True
pos-l04-s03,short,235,91.0,True
pos-l05-s01,short,234,90.6,True
pos-l05-s02,short,237,91.7,True
pos-l05-s03,short,240,92.9,True
pos-l06-s01,short,234,90.6,True
pos-l06-s02,short,231,89.4,True
pos-l06-s03,short,233,90.2,True
tx-s021,short,234,90.6,True
tx-s027,short,231,89.4,True
