id,pillar,working_title,mode,primary_cta,canonical_locale,review_risk
P01,Strategic reinvention,Non devi mollare tutto,decision-framework,planning resource,it,high
P02,Business and positioning,Essere Multifaiga non significa essere confusa,myth-reality,MULTIFAIGA,it,high
P03,Storytelling,Storytelling non è raccontare tutto,tactical-lesson,StoryFaiga,it,high
P04,Time and independence,Il tuo tempo è un vincolo di progetto,position-essay,PRESENTE,it,high
P05,Business and positioning,Perché trova la tua nicchia può bloccarti,myth-reality,business academy,it,medium
P06,Creator strategy,Pubblico non significa accessibile sempre,position-essay,newsletter,it,medium
P07,Life design,La paura è informazione,guided-exercise,planning resource,it,medium
P08,Content strategy,Prima di creare più contenuti,tactical-lesson,content strategy,it,high
P09,Women money power,Parlare di soldi è una competenza,position-essay,newsletter/book,it,high-risk-review
P10,Anti-noise,Cosa togliere prima di ottimizzare,decision-framework,PRESENTE,it,medium
P11,Solo travel,Viaggiare da sola si impara,story-to-strategy,VIAGGETTY,it,safety-review
P12,Business and time,Un business indipendente non dipende dalla presenza continua,case-diagnosis,consultation,it,medium
