episode,title,source_words,rewrite_words,main_fix,output_file
140,The Elevator That Asked for Blood,1151,1068,Made the haunted-elevator rule concrete and turned the final chime into a repeatable warning.,140-the-elevator-that-asked-for-blood-youtube-rewrite.md
141,The Smiling Man on the Security Feed,1141,1041,"Strengthened surveillance logic: no zooming, archive proof, thumbnail payoff.",141-the-smiling-man-on-the-security-feed-youtube-rewrite.md
142,The Well Behind the Gas Station,1142,1047,Clarified the payment rule and made the coins/blood evidence more procedural.,142-the-well-behind-the-gas-station-youtube-rewrite.md
143,The Postcard from the House I Never Visited,1122,1050,Built the non-existent room mystery around mail evidence and home invasion dread.,143-the-postcard-from-the-house-i-never-visited-youtube-rewrite.md
144,The Snowplow Found Fresh Skin,1127,1055,"Reduced gore; focused on route logs, snowbank rule, and atmospheric body-horror implication.",144-the-snowplow-found-fresh-skin-youtube-rewrite.md
145,The Classroom That Appeared at Midnight,1117,1038,Converted outline into a midnight lesson scenario with the chalk/name rule.,145-the-classroom-that-appeared-at-midnight-youtube-rewrite.md
146,The Woman in the Emergency Exit Sign,1118,1045,Made the sign an active misdirection device and strengthened the wrong-exit rule.,146-the-woman-in-the-emergency-exit-sign-youtube-rewrite.md
147,The Lake That Refused to Reflect Stars,1123,1054,"Tied the cosmic reflection idea to photos, timing, and a leave-before-moonrise rule.",147-the-lake-that-refused-to-reflect-stars-youtube-rewrite.md
148,The Last VHS at the Video Store,1117,1061,"Made the cursed media mechanics clearer: do not rewind, tape finds the beginning.",148-the-last-vhs-at-the-video-store-youtube-rewrite.md
149,The Motel Bible Had My Name Written Inside,1121,1044,Strengthened room-specific dread and the name-in-Bible consequence.,149-the-motel-bible-had-my-name-written-inside-youtube-rewrite.md
150,The Drone Swarm Over Black Farm,1113,1050,Turned the swarm into a telemetry-driven trap with a visual center-circle rule.,150-the-drone-swarm-over-black-farm-youtube-rewrite.md
151,The Basement Window Looking Out to Sea,1098,1032,Made the inland sea impossible detail more visual and rule-driven.,151-the-basement-window-looking-out-to-sea-youtube-rewrite.md
152,The Crow That Delivered Teeth,1114,1046,Reduced shock value around teeth and made them receipts/warnings.,152-the-crow-that-delivered-teeth-youtube-rewrite.md
153,The Door in the Hospital Ceiling,1098,1038,"Connected monitors, breathing, and the ceiling door into a clear ward rule.",153-the-door-in-the-hospital-ceiling-youtube-rewrite.md
154,The Old GPS Route Through Nowhere,1109,1037,Strengthened route logic and made the GPS trap feel procedural.,154-the-old-gps-route-through-nowhere-youtube-rewrite.md
155,The Wedding Guest No One Invited,1109,1046,Anchored the uninvited guest in seating charts and wedding footage.,155-the-wedding-guest-no-one-invited-youtube-rewrite.md
156,The Wardrobe That Returned Different Clothes,1102,1048,Improved cursed-clothing mechanics and stage-performance payoff.,156-the-wardrobe-that-returned-different-clothes-youtube-rewrite.md
157,The Ice Cream Truck After Midnight,1107,1053,Made the midnight truck rule stronger and avoided child-focused danger.,157-the-ice-cream-truck-after-midnight-youtube-rewrite.md
158,The Recording Booth With Another Voice,1113,1047,"Focused on playback evidence, voice mimicry, and silence as threat.",158-the-recording-booth-with-another-voice-youtube-rewrite.md
159,The Cemetery Angel Changed Faces,1095,1030,Clarified the face-changing statue timeline and sunset rule.,159-the-cemetery-angel-changed-faces-youtube-rewrite.md
160,The Laundromat Washer Full of Hair,1115,1042,Made machine seven a contained threat with open/don’t-open tension.,160-the-laundromat-washer-full-of-hair-youtube-rewrite.md
161,The Ambulance That Came Before the Call,1090,1025,Strengthened timestamp logic and dispatch-before-call paradox.,161-the-ambulance-that-came-before-the-call-youtube-rewrite.md
162,The Red Light in the Cornfield,1123,1052,Made the cornfield light a movement lure rather than vague atmosphere.,162-the-red-light-in-the-cornfield-youtube-rewrite.md
