episode,id,arc,arc_name,title,hook,cliffhanger_beat,characters,location,locale,wpm,word_count,estimated_seconds,timing_gate,editorial_score,editorial_gate,source_authority
1,E001,1,Das unmögliche Handy,Sieben Minuten,"Maya sieht auf ihrem Handy, wie ihr Freund stirbt – sieben Minuten bevor es passiert.",Zeitstempel: 20:14 Uhr. Noch sieben Minuten.,Maya Vale|Ethan Cole,apartment/street,de-DE,150,144,57.6,PASS,9.8,PASS,EN-v3
2,E002,1,Das unmögliche Handy,Die tote Frau,In sieben Minuten wird Ethan mit dem Blut einer fremden Frau bedeckt sein.,Die Frau versucht noch etwas zu sagen. Dann verliert sie das Bewusstsein.,Maya Vale|Ethan Cole,parking garage,de-DE,150,145,58.0,PASS,9.81,PASS,EN-v3
3,E003,1,Das unmögliche Handy,Sie wusste es,"Eine sterbende Fremde kennt Mayas Geheimnis – und jemand will verhindern, dass sie es erklärt.","Maya dreht sich um. Ethan steht in der Tür und hat Noras Reaktion ebenfalls gesehen. Maya hat Nora nie erzählt, dass es ein zweites gab.",Maya Vale|Ethan Cole|Nora Reyes,hospital,de-DE,150,145,58.0,PASS,9.81,PASS,EN-v3
4,E004,1,Das unmögliche Handy,Das zweite Video,Mayas Handy zeigt zwei verschiedene Zukünfte für dieselben sieben Minuten.,"Dann erscheint eine letzte Zeile: JETZT SEHEN WIR, WAS DU ZU OPFERN BEREIT BIST.",Maya Vale|Ethan Cole,apartment hallway,de-DE,150,146,58.4,PASS,9.81,PASS,EN-v3
5,E005,1,Das unmögliche Handy,Rette ihn nicht,Das nächste Zukunftsvideo gibt Maya einen einzigen Befehl: Lass einen Fremden sterben.,Maya sagt nichts. Woher kennt ein Fremder ihre beste Freundin?,Maya Vale|Ethan Cole|Nora Reyes,city street,de-DE,150,143,57.2,PASS,9.8,PASS,EN-v3
6,E006,1,Das unmögliche Handy,Nora wer?,"Ein Mann, den Maya gerade gerettet hat, kennt ihre beste Freundin – doch Nora behauptet, ihn nie gesehen zu haben.","Adrian sieht den neuen Clip – und wird blass. „Er sagt, dass ich deinetwegen sterbe.“",Maya Vale|Ethan Cole|Nora Reyes,street/cafe,de-DE,150,150,60.0,PASS,9.77,PASS,EN-v3
7,E007,1,Das unmögliche Handy,Noch ein Empfänger,"Das Handy eines anderen Empfängers sagt voraus, dass Maya ihn in sieben Minuten töten wird.","Maya hat ihn noch nie gesehen. „Warum waren Sie bei drei Vorfällen schon da, bevor sie passiert sind?“",Maya Vale|Ethan Cole|Detective Daniel Cross,cafe,de-DE,150,152,60.8,PASS,9.79,PASS,EN-v3
8,E008,1,Das unmögliche Handy,Der Ermittler,"Ein Mordermittler hat nur eine Frage an Maya: Wie schafft sie es, immer vor dem Verbrechen am Tatort zu sein?","Sein Gesicht wird kreidebleich. „Seit wann“, flüstert er, „bekommen Sie diese Videos?“",Maya Vale|Ethan Cole|Detective Daniel Cross,police interview room,de-DE,150,145,58.0,PASS,9.76,PASS,EN-v3
9,E009,1,Das unmögliche Handy,Seine erste Vorhersage,Der Ermittler hat dieselbe unmögliche App schon vor drei Jahren gesehen – auf dem Handy eines toten Mannes.,"Maya ist seit zwei Jahren mit Ethan zusammen. Er hat nie erwähnt, dass er eine vermisste Schwester hat.",Maya Vale|Ethan Cole|Detective Daniel Cross,police office,de-DE,150,147,58.8,PASS,9.81,PASS,EN-v3
10,E010,1,Das unmögliche Handy,Noras Handy,"Maya entdeckt, dass die Person, der sie am meisten vertraut, schon viel länger Zukunftsvideos erhält als sie selbst.",„Nein.“ Da klopft jemand an die Wohnungstür.,Maya Vale|Nora Reyes|Ethan Cole,apartment,de-DE,150,140,56.0,PASS,9.79,PASS,EN-v3
11,E011,2,Jemand beobachtet dich,Die Pistole,Mayas Zukunft zeigt sie mit einer Pistole auf Nora zielend – aber die Waffe gehört ihr nicht.,Der Zeitstempel stammt von letzter Nacht. Und ihre Tür war die ganze Zeit verschlossen.,Maya Vale|Nora Reyes|Detective Daniel Cross,apartment,de-DE,150,148,59.2,PASS,9.82,PASS,EN-v3
12,E012,2,Jemand beobachtet dich,Während du schliefst,Jemand stand letzte Nacht neben Mayas Bett – obwohl ihre Wohnung nie geöffnet wurde.,Das Gerät pulsiert erneut. Mayas Handy bleibt noch dunkel.,Maya Vale|Nora Reyes|Ethan Cole|Detective Daniel Cross,bedroom,de-DE,150,142,56.8,PASS,9.78,PASS,EN-v3
13,E013,2,Jemand beobachtet dich,Das Relais,"Das Gerät unter Mayas Bett sendet ihre Daten nicht nach außen. Es wartet darauf, dass die Zukunft eintrifft.",Der Laptop antwortet von selbst: EINER BLEIBT.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,rooftop,de-DE,150,147,58.8,PASS,9.82,PASS,EN-v3
14,E014,2,Jemand beobachtet dich,Empfänger Siebzehn,"Wenn Maya Empfänger 17 ist, gab es sechzehn Menschen vor ihr – und nur einer könnte noch leben.",Nur eine verlassene Klinik liegt direkt darüber. Der Abriss beginnt in acht Minuten.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,rooftop/apartment,de-DE,150,141,56.4,PASS,9.78,PASS,EN-v3
15,E015,2,Jemand beobachtet dich,Empfänger Sechzehn,"Maya hat sieben Minuten, um Empfänger 16 zu finden, bevor das Gebäude gesprengt wird.","„Wer?“ Empfänger 16 bricht zusammen, bevor sie antworten kann.",Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,abandoned station,de-DE,150,148,59.2,PASS,9.81,PASS,EN-v3
16,E016,2,Jemand beobachtet dich,Einer von uns,Eine Person in Mayas engstem Kreis könnte heimlich für AHEAD arbeiten.,FELDBEOBACHTERIN. Status: AKTIV.,Maya Vale|Nora Reyes|Ethan Cole|Detective Daniel Cross,police station,de-DE,150,142,56.8,PASS,9.77,PASS,EN-v3
17,E017,2,Jemand beobachtet dich,Feldbeobachterin,Noras Name steht im Personalsystem von AHEAD – und laut Akte ist sie noch immer aktiv.,Eine zweite Zeile erscheint: ABLEHNUNG BEREITS BEOBACHTET.,Maya Vale|Nora Reyes,parking lot,de-DE,150,146,58.4,PASS,9.77,PASS,EN-v3
18,E018,2,Jemand beobachtet dich,Die rote Tür,"AHEAD befiehlt Nora, Maya eine rote Tür öffnen zu lassen – und behauptet, ihre Weigerung bereits gesehen zu haben.",Maya sieht sie an. Daniel sieht nur sein eigenes Spiegelbild.,Maya Vale|Nora Reyes|Detective Daniel Cross|Ethan Cole,abandoned office,de-DE,150,146,58.4,PASS,9.79,PASS,EN-v3
