language,locale,episode,title,source_editorial_score,localization_naturalness,timing_fit,continuity_preservation,weighted_score,gate
en,en-US,E001,Seven Minutes,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E002,The Dead Woman,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E003,She Knew,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E004,The Second Video,9.8,9.8,9.96,9.95,9.82,PASS
en,en-US,E005,Do Not Save Him,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E006,Nora Who?,9.74,9.8,9.96,9.95,9.78,PASS
en,en-US,E007,Another Receiver,9.78,9.8,9.92,9.95,9.81,PASS
en,en-US,E008,The Detective,9.73,9.8,9.96,9.95,9.77,PASS
en,en-US,E009,His First Prediction,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E010,Nora’s Phone,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E011,The Gun,9.8,9.8,9.96,9.95,9.82,PASS
en,en-US,E012,While You Slept,9.77,9.8,9.96,9.95,9.8,PASS
en,en-US,E013,The Relay,9.8,9.8,9.96,9.95,9.82,PASS
en,en-US,E014,Receiver Seventeen,9.77,9.8,9.96,9.95,9.8,PASS
en,en-US,E015,Receiver Sixteen,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E016,One of Us,9.75,9.8,9.96,9.95,9.79,PASS
en,en-US,E017,Field Observer,9.74,9.8,9.96,9.95,9.78,PASS
en,en-US,E018,The Red Door,9.77,9.8,9.96,9.95,9.8,PASS
en,en-US,E019,Blind Spot,9.77,9.8,9.96,9.95,9.8,PASS
en,en-US,E020,Inside the Apartment,9.79,9.8,9.96,9.95,9.82,PASS
en,en-US,E021,The Sleeping Maya,9.74,9.8,9.96,9.95,9.78,PASS
en,en-US,E022,Where Is Clara?,9.8,9.8,9.96,9.95,9.82,PASS
en,en-US,E023,The Annex,9.75,9.8,9.96,9.95,9.79,PASS
en,en-US,E024,Tomorrow’s Photograph,9.77,9.8,9.96,9.95,9.8,PASS
en,en-US,E025,Maya Built AHEAD,9.74,9.8,9.99,9.95,9.78,PASS
en,en-US,E026,You Are Early,9.8,9.8,9.96,9.95,9.82,PASS
en,en-US,E027,Seven Minutes Away,9.77,9.8,9.99,9.95,9.81,PASS
en,en-US,E028,After Tonight,9.77,9.8,9.96,9.95,9.8,PASS
