id,format,series,locale,wordCount,wpm,estimatedSeconds,timingPass,timingNormalized,originalWordCount,path
osc-l01,long,offer-sales-conversion,de,1461,145,604.6,True,,,content/long/de/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l01,long,offer-sales-conversion,en,1514,150,605.6,True,,,content/long/en/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l01,long,offer-sales-conversion,es,1517,150,606.8,True,,,content/long/es/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l01,long,offer-sales-conversion,fr,1460,150,584.0,True,,,content/long/fr/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l01,long,offer-sales-conversion,it,1493,150,597.2,True,,,content/long/it/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l01,long,offer-sales-conversion,pt,1516,150,606.4,True,,,content/long/pt/osc-01-a-good-business-starts-with-the-right-business-model.md
osc-l02,long,offer-sales-conversion,de,1440,145,595.9,True,,,content/long/de/osc-02-your-ideal-customer-is-not-everyone.md
osc-l02,long,offer-sales-conversion,en,1526,150,610.4,True,,,content/long/en/osc-02-your-ideal-customer-is-not-everyone.md
osc-l02,long,offer-sales-conversion,es,1474,150,589.6,True,,,content/long/es/osc-02-your-ideal-customer-is-not-everyone.md
osc-l02,long,offer-sales-conversion,fr,1492,150,596.8,True,,,content/long/fr/osc-02-your-ideal-customer-is-not-everyone.md
osc-l02,long,offer-sales-conversion,it,1497,150,598.8,True,,,content/long/it/osc-02-your-ideal-customer-is-not-everyone.md
osc-l02,long,offer-sales-conversion,pt,1477,150,590.8,True,,,content/long/pt/osc-02-your-ideal-customer-is-not-everyone.md
osc-l03,long,offer-sales-conversion,de,1461,145,604.6,True,,,content/long/de/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l03,long,offer-sales-conversion,en,1508,150,603.2,True,,,content/long/en/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l03,long,offer-sales-conversion,es,1507,150,602.8,True,,,content/long/es/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l03,long,offer-sales-conversion,fr,1543,150,617.2,True,,,content/long/fr/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l03,long,offer-sales-conversion,it,1494,150,597.6,True,,,content/long/it/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l03,long,offer-sales-conversion,pt,1455,150,582.0,True,,,content/long/pt/osc-03-people-dont-buy-your-product-they-buy-the-promise.md
osc-l04,long,offer-sales-conversion,de,1488,145,615.7,True,,,content/long/de/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l04,long,offer-sales-conversion,en,1545,150,618.0,True,,,content/long/en/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l04,long,offer-sales-conversion,es,1514,150,605.6,True,,,content/long/es/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l04,long,offer-sales-conversion,fr,1462,150,584.8,True,,,content/long/fr/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l04,long,offer-sales-conversion,it,1506,150,602.4,True,,,content/long/it/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l04,long,offer-sales-conversion,pt,1534,150,613.6,True,,,content/long/pt/osc-04-how-to-build-an-offer-people-actually-want.md
osc-l05,long,offer-sales-conversion,de,1402,145,580.1,True,,,content/long/de/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l05,long,offer-sales-conversion,en,1465,150,586.0,True,,,content/long/en/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l05,long,offer-sales-conversion,es,1468,150,587.2,True,,,content/long/es/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l05,long,offer-sales-conversion,fr,1490,150,596.0,True,,,content/long/fr/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l05,long,offer-sales-conversion,it,1460,150,584.0,True,,,content/long/it/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l05,long,offer-sales-conversion,pt,1452,150,580.8,True,,,content/long/pt/osc-05-stop-improving-the-marketing-fix-the-product.md
osc-l06,long,offer-sales-conversion,de,1421,145,588.0,True,,,content/long/de/osc-06-attention-is-not-conversion.md
osc-l06,long,offer-sales-conversion,en,1548,150,619.2,True,,,content/long/en/osc-06-attention-is-not-conversion.md
osc-l06,long,offer-sales-conversion,es,1480,150,592.0,True,,,content/long/es/osc-06-attention-is-not-conversion.md
osc-l06,long,offer-sales-conversion,fr,1456,150,582.4,True,,,content/long/fr/osc-06-attention-is-not-conversion.md
osc-l06,long,offer-sales-conversion,it,1523,150,609.2,True,,,content/long/it/osc-06-attention-is-not-conversion.md
osc-l06,long,offer-sales-conversion,pt,1465,150,586.0,True,,,content/long/pt/osc-06-attention-is-not-conversion.md
osc-l07,long,offer-sales-conversion,de,1495,145,618.6,True,,,content/long/de/osc-07-why-selling-feels-difficult.md
osc-l07,long,offer-sales-conversion,en,1480,150,592.0,True,,,content/long/en/osc-07-why-selling-feels-difficult.md
osc-l07,long,offer-sales-conversion,es,1482,150,592.8,True,,,content/long/es/osc-07-why-selling-feels-difficult.md
osc-l07,long,offer-sales-conversion,fr,1529,150,611.6,True,,,content/long/fr/osc-07-why-selling-feels-difficult.md
osc-l07,long,offer-sales-conversion,it,1474,150,589.6,True,,,content/long/it/osc-07-why-selling-feels-difficult.md
osc-l07,long,offer-sales-conversion,pt,1493,150,597.2,True,,,content/long/pt/osc-07-why-selling-feels-difficult.md
osc-l08,long,offer-sales-conversion,de,1484,145,614.1,True,,,content/long/de/osc-08-sales-without-chasing-everyone.md
osc-l08,long,offer-sales-conversion,en,1510,150,604.0,True,,,content/long/en/osc-08-sales-without-chasing-everyone.md
osc-l08,long,offer-sales-conversion,es,1463,150,585.2,True,,,content/long/es/osc-08-sales-without-chasing-everyone.md
osc-l08,long,offer-sales-conversion,fr,1544,150,617.6,True,,,content/long/fr/osc-08-sales-without-chasing-everyone.md
osc-l08,long,offer-sales-conversion,it,1456,150,582.4,True,,,content/long/it/osc-08-sales-without-chasing-everyone.md
osc-l08,long,offer-sales-conversion,pt,1504,150,601.6,True,,,content/long/pt/osc-08-sales-without-chasing-everyone.md
osc-s01a,short,offer-sales-conversion,de,220,150,88.0,True,True,176,content/shorts/de/osc-01a-revenue-is-not-a-good-business.md
osc-s01a,short,offer-sales-conversion,en,229,155,88.6,True,True,184,content/shorts/en/osc-01a-revenue-is-not-a-good-business.md
osc-s01a,short,offer-sales-conversion,es,229,155,88.6,True,True,182,content/shorts/es/osc-01a-revenue-is-not-a-good-business.md
osc-s01a,short,offer-sales-conversion,fr,239,155,92.5,True,True,179,content/shorts/fr/osc-01a-revenue-is-not-a-good-business.md
osc-s01a,short,offer-sales-conversion,it,229,155,88.6,True,True,184,content/shorts/it/osc-01a-revenue-is-not-a-good-business.md
osc-s01a,short,offer-sales-conversion,pt,232,155,89.8,True,True,193,content/shorts/pt/osc-01a-revenue-is-not-a-good-business.md
osc-s01b,short,offer-sales-conversion,de,226,150,90.4,True,True,189,content/shorts/de/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s01b,short,offer-sales-conversion,en,233,155,90.2,True,True,192,content/shorts/en/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s01b,short,offer-sales-conversion,es,235,155,91.0,True,True,179,content/shorts/es/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s01b,short,offer-sales-conversion,fr,228,155,88.3,True,True,185,content/shorts/fr/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s01b,short,offer-sales-conversion,it,231,155,89.4,True,True,177,content/shorts/it/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s01b,short,offer-sales-conversion,pt,232,155,89.8,True,True,177,content/shorts/pt/osc-01b-if-you-stop-working-does-your-revenue-stop-too.md
osc-s02a,short,offer-sales-conversion,de,227,150,90.8,True,True,196,content/shorts/de/osc-02a-stop-targeting-everyone.md
osc-s02a,short,offer-sales-conversion,en,232,155,89.8,True,True,216,content/shorts/en/osc-02a-stop-targeting-everyone.md
osc-s02a,short,offer-sales-conversion,es,232,155,89.8,True,True,202,content/shorts/es/osc-02a-stop-targeting-everyone.md
osc-s02a,short,offer-sales-conversion,fr,229,155,88.6,True,True,181,content/shorts/fr/osc-02a-stop-targeting-everyone.md
osc-s02a,short,offer-sales-conversion,it,233,155,90.2,True,True,216,content/shorts/it/osc-02a-stop-targeting-everyone.md
osc-s02a,short,offer-sales-conversion,pt,233,155,90.2,True,True,208,content/shorts/pt/osc-02a-stop-targeting-everyone.md
osc-s02b,short,offer-sales-conversion,de,220,150,88.0,True,True,167,content/shorts/de/osc-02b-stop-posting-where-your-customers-arent.md
osc-s02b,short,offer-sales-conversion,en,228,155,88.3,True,True,175,content/shorts/en/osc-02b-stop-posting-where-your-customers-arent.md
osc-s02b,short,offer-sales-conversion,es,225,155,87.1,True,True,172,content/shorts/es/osc-02b-stop-posting-where-your-customers-arent.md
osc-s02b,short,offer-sales-conversion,fr,233,155,90.2,True,True,178,content/shorts/fr/osc-02b-stop-posting-where-your-customers-arent.md
osc-s02b,short,offer-sales-conversion,it,227,155,87.9,True,True,179,content/shorts/it/osc-02b-stop-posting-where-your-customers-arent.md
osc-s02b,short,offer-sales-conversion,pt,226,155,87.5,True,True,174,content/shorts/pt/osc-02b-stop-posting-where-your-customers-arent.md
osc-s03a,short,offer-sales-conversion,de,227,150,90.8,True,True,177,content/shorts/de/osc-03a-what-does-your-customer-really-buy.md
osc-s03a,short,offer-sales-conversion,en,234,155,90.6,True,True,194,content/shorts/en/osc-03a-what-does-your-customer-really-buy.md
osc-s03a,short,offer-sales-conversion,es,228,155,88.3,True,True,187,content/shorts/es/osc-03a-what-does-your-customer-really-buy.md
osc-s03a,short,offer-sales-conversion,fr,235,155,91.0,True,True,183,content/shorts/fr/osc-03a-what-does-your-customer-really-buy.md
osc-s03a,short,offer-sales-conversion,it,230,155,89.0,True,True,215,content/shorts/it/osc-03a-what-does-your-customer-really-buy.md
osc-s03a,short,offer-sales-conversion,pt,234,155,90.6,True,True,194,content/shorts/pt/osc-03a-what-does-your-customer-really-buy.md
osc-s03b,short,offer-sales-conversion,de,223,150,89.2,True,True,181,content/shorts/de/osc-03b-the-promise-formula.md
osc-s03b,short,offer-sales-conversion,en,229,155,88.6,True,True,169,content/shorts/en/osc-03b-the-promise-formula.md
osc-s03b,short,offer-sales-conversion,es,237,155,91.7,True,True,189,content/shorts/es/osc-03b-the-promise-formula.md
