episode,id,arc,arc_name,title,hook,cliffhanger_beat,characters,location,locale,wpm,word_count,estimated_seconds,timing_gate,editorial_score,editorial_gate,source_authority
1,E001,1,The Impossible Phone,Seven Minutes,Maya watches her boyfriend die on her phone—seven minutes before it happens.,Beside him lies a woman Maya has never seen. And the timestamp says 8:14.,Maya Vale|Ethan Cole,apartment/street,en-US,155,154,59.6,PASS,9.73,PASS,EN-v5
2,E002,1,The Impossible Phone,The Dead Woman,"Seven minutes from now, Ethan will be covered in a stranger’s blood.","“You got them too,” she whispers. Then she passes out.",Maya Vale|Ethan Cole,parking garage,en-US,155,154,59.6,PASS,9.73,PASS,EN-v5
3,E003,1,The Impossible Phone,She Knew,A dying stranger knows Maya’s secret—and someone wants her gone before she can explain it.,Maya turns. Ethan sees Nora’s expression from the doorway. He does not miss it either. She never told Nora there was one.,Maya Vale|Ethan Cole|Nora Reyes,hospital,en-US,155,154,59.6,PASS,9.69,PASS,EN-v5
4,E004,1,The Impossible Phone,The Second Video,Maya’s phone shows two different futures for the same seven minutes.,A final line appears beneath it: NOW LET’S SEE WHAT YOU’LL SACRIFICE.,Maya Vale|Ethan Cole,apartment hallway,en-US,155,154,59.6,PASS,9.73,PASS,EN-v5
5,E005,1,The Impossible Phone,Do Not Save Him,The next future video gives Maya one instruction: let a stranger die.,He looks past her toward Ethan. “Did Nora send you?”,Maya Vale|Ethan Cole|Nora Reyes,city street,en-US,155,154,59.6,PASS,9.69,PASS,EN-v5
6,E006,1,The Impossible Phone,Nora Who?,A man Maya just saved knows her best friend—but Nora swears she has never seen him.,Adrian watches the incoming clip and goes pale. “It says you’re the reason I die.”,Maya Vale|Ethan Cole|Nora Reyes,street/cafe,en-US,155,154,59.6,PASS,9.69,PASS,EN-v5
7,E007,1,The Impossible Phone,Another Receiver,Another receiver’s phone says Maya will kill him in seven minutes.,Maya has never met him. “Why have you been at three incidents before they happened?”,Maya Vale|Ethan Cole|Detective Daniel Cross,cafe,en-US,155,156,60.4,PASS,9.73,PASS,EN-v5
8,E008,1,The Impossible Phone,The Detective,A homicide detective has one question for Maya: how does she keep arriving before the crime?,"His face drains of color. “How long,” he whispers, “have you been receiving them?”",Maya Vale|Ethan Cole|Detective Daniel Cross,police interview room,en-US,155,154,59.6,PASS,9.69,PASS,EN-v5
9,E009,1,The Impossible Phone,His First Prediction,The detective saw the same impossible app three years ago—on a dead man’s phone.,"Maya has been dating Ethan for two years. Daniel watches Ethan now, realizing another secret just entered the case. He has never mentioned a missing sister.",Maya Vale|Ethan Cole|Detective Daniel Cross,police office,en-US,155,154,59.6,PASS,9.69,PASS,EN-v5
10,E010,1,The Impossible Phone,Nora’s Phone,Maya discovers the person she trusts most has been receiving future videos longer than she has.,“No.” A knock sounds at the apartment door.,Maya Vale|Nora Reyes|Ethan Cole,apartment,en-US,155,154,59.6,PASS,9.73,PASS,EN-v5
11,E011,2,Someone Is Watching,The Gun,Maya’s future shows her pointing a gun at Nora—but the gun does not belong to Maya.,Maya is asleep in her own bed. The timestamp is last night.,Maya Vale|Nora Reyes|Detective Daniel Cross,apartment,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
12,E012,2,Someone Is Watching,While You Slept,Someone stood beside Maya’s bed last night—and her locks were never opened.,The device pulses again. This time Maya’s phone is still dark.,Maya Vale|Nora Reyes|Ethan Cole|Detective Daniel Cross,bedroom,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
13,E013,2,Someone Is Watching,The Relay,The relay under Maya’s bed is not sending her data anywhere. It is waiting for the future to arrive.,Then one final line types itself across the screen: ONE REMAINS.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,rooftop,en-US,155,149,57.7,PASS,9.76,PASS,EN-v5
14,E014,2,Someone Is Watching,Receiver Seventeen,"AHEAD calls Maya “Seventeen,” and a captive woman may be the only person alive who knows what the number means.",Daniel identifies one abandoned clinic above that line. Demolition begins there in eight minutes.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross|Leila Hart,rooftop/apartment,en-US,155,152,58.8,PASS,9.76,PASS,EN-v5
15,E015,2,Someone Is Watching,Receiver Sixteen,Maya has seven minutes to rescue the parking-garage woman—AHEAD’s Receiver 16—before an abandoned clinic is demolished.,“Which one?” She collapses before she can answer.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross|Leila Hart,abandoned station,en-US,155,145,56.1,PASS,9.76,PASS,EN-v5
16,E016,2,Someone Is Watching,One of Us,One person in Maya’s inner circle may secretly work for AHEAD.,FIELD OBSERVER. Status: ACTIVE.,Maya Vale|Nora Reyes|Ethan Cole|Detective Daniel Cross,police station,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
17,E017,2,Someone Is Watching,Field Observer,Nora’s name is in AHEAD’s personnel system—and the file says she is still active.,A second line appears: REFUSAL ALREADY OBSERVED.,Maya Vale|Nora Reyes,parking lot,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
18,E018,2,Someone Is Watching,The Red Door,AHEAD orders Nora to make Maya open a red door—and says their refusal has already happened.,And now someone is standing beside it. The figure raises one finger to its lips.,Maya Vale|Nora Reyes|Detective Daniel Cross|Ethan Cole,abandoned office,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
19,E019,2,Someone Is Watching,Blind Spot,A camera is watching Maya from a place that does not physically exist.,Incoming Signal. Location: HOME.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,surveillance room,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
20,E020,2,Someone Is Watching,Inside the Apartment,Future Maya tells her not to go home—so Maya goes home anyway.,“You should have told her where Clara is.” Present Maya turns slowly toward him.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,apartment,en-US,155,154,59.6,PASS,9.66,PASS,EN-v5
21,E021,3,Ethan's Secret,The Sleeping Maya,Maya is standing in her kitchen while another Maya appears live on a bedroom camera.,Maya looks at the man beside her. “Start talking.”,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,apartment,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
22,E022,3,Ethan's Secret,Where Is Clara?,Maya’s future self says Ethan knows where his missing sister is—and Ethan finally admits she may be right.,Ethan does not come back out. Something else does.,Maya Vale|Ethan Cole|Nora Reyes,apartment,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
23,E023,3,Ethan's Secret,The Annex,"Ethan is predicted to vanish inside an abandoned lab, so Maya follows him before he can go alone.","On the back, someone has written: DON’T LET HER REMEMBER.",Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
24,E024,3,Ethan's Secret,Tomorrow’s Photograph,A photograph taken tomorrow shows Maya standing in a room she is in today.,A woman with Maya’s voice answers: “No. It isn’t.”,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
25,E025,3,Ethan's Secret,Maya Built AHEAD,A secret message says Maya created the project that has been stalking her for months.,"Then it says: “You are early, Version 17.”",Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,en-US,155,153,59.2,PASS,9.67,PASS,EN-v5
26,E026,3,Ethan's Secret,You Are Early,A future version of Maya is speaking through a lab that has been abandoned for three years.,The monitor shows a countdown: 00:12.,Maya Vale|Ethan Cole|Clara Cole,AHEAD annex lab,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
27,E027,3,Ethan's Secret,Seven Minutes Away,Ethan’s missing sister appears on the other side of a seven-minute gap—and she can see him.,The clock hits zero. Clara disappears.,Maya Vale|Ethan Cole|Clara Cole|Nora Reyes,AHEAD annex lab,en-US,155,153,59.2,PASS,9.67,PASS,EN-v5
28,E028,3,Ethan's Secret,After Tonight,Clara tells Maya not to trust Ethan after tonight—then Ethan wakes with someone else’s memory.,“I would never do that.” The countdown starts.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,en-US,155,154,59.6,PASS,9.67,PASS,EN-v5
29,E029,3,Ethan's Secret,Ethan Receives,Ethan’s first future video shows him strangling Maya—and he has seven minutes to prove the context is wrong.,That never happened. The future clip contains something from a branch they did not choose.,Maya Vale|Ethan Cole|Nora Reyes,AHEAD annex,en-US,155,160,61.9,PASS,9.67,PASS,EN-v5
30,E030,3,Ethan's Secret,The Detonator,Ethan’s Signal shows Nora holding a detonator from a future that never happened.,Maya watches the timer fall. “It made us find it.”,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD annex,en-US,155,159,61.5,PASS,9.67,PASS,EN-v5
31,E031,4,The First Receiver,Seven-Minute Bomb,A detonator gives Maya seven minutes to escape—but the only unlocked route goes deeper underground.,It is Jonah Reed. The dead man from his evidence file.,Maya Vale|Ethan Cole|Nora Reyes|Detective Daniel Cross|Jonah Reed,AHEAD annex,en-US,155,157,60.8,PASS,9.58,PASS,EN-v5
32,E032,4,The First Receiver,Jonah Reed,"Jonah Reed has been dead for three years, yet he is standing in front of Maya—and he says AHEAD lied about what “Seventeen” means.",Jonah looks directly at her. “You are Version Seventeen.”,Maya Vale|Jonah Reed|Detective Daniel Cross,AHEAD basement,en-US,155,146,56.5,PASS,9.68,PASS,EN-v5
33,E033,4,The First Receiver,Version Seventeen,Maya is not Receiver Seventeen. She is the seventeenth version of the same life—and sixteen earlier Mayas already failed.,"Behind Jonah, a machine powers on. TARGET: MAYA VALE.",Maya Vale|Jonah Reed|Ethan Cole|Nora Reyes|Detective Daniel Cross,AHEAD basement,en-US,155,147,56.9,PASS,9.68,PASS,EN-v5
