episode,id,arc,arc_name,title,hook,cliffhanger_beat,characters,location,locale,wpm,word_count,estimated_seconds,timing_gate,editorial_score,editorial_gate,source_authority
1,E001,1,O celular impossível,Sete minutos,Maya vê o namorado morrer no celular sete minutos antes de acontecer.,Ao lado dele há uma mulher que Maya nunca viu. Horário: 20h14.,Maya Vale|Ethan Cole,apartment/street,pt-BR,155,156,60.4,PASS,9.81,PASS,EN-v3
2,E002,1,O celular impossível,A mulher morta,"Daqui a sete minutos, Ethan estará coberto pelo sangue de uma desconhecida.","“Você também recebe”, sussurra. E desmaia.",Maya Vale|Ethan Cole,parking garage,pt-BR,155,151,58.5,PASS,9.81,PASS,EN-v3
3,E003,1,O celular impossível,Ela sabia,"Uma desconhecida à beira da morte conhece o segredo de Maya, e alguém quer fazê-la desaparecer antes que explique tudo.",Maya se vira. Ethan também viu a reação de Nora. Ela nunca contou que havia um segundo vídeo.,Maya Vale|Ethan Cole|Nora Reyes,hospital,pt-BR,155,149,57.7,PASS,9.81,PASS,EN-v3
4,E004,1,O celular impossível,O segundo vídeo,O celular de Maya mostra dois futuros diferentes para os mesmos sete minutos.,Outra linha aparece: AGORA VEREMOS O QUE VOCÊ ACEITA SACRIFICAR.,Maya Vale|Ethan Cole,apartment hallway,pt-BR,155,145,56.1,PASS,9.8,PASS,EN-v3
5,E005,1,O celular impossível,Não salve ele,O próximo vídeo do futuro dá a Maya uma única ordem: deixar um desconhecido morrer.,Ele olha para Ethan. “Foi a Nora que mandou você?”,Maya Vale|Ethan Cole|Nora Reyes,city street,pt-BR,155,155,60.0,PASS,9.81,PASS,EN-v3
6,E006,1,O celular impossível,Nora quem?,"Um homem que Maya acabou de salvar conhece sua melhor amiga, mas Nora jura que nunca o viu.",Adrian vê o novo clipe e empalidece. “Ele diz que eu morro por sua causa.”,Maya Vale|Ethan Cole|Nora Reyes,street/cafe,pt-BR,155,146,56.5,PASS,9.76,PASS,EN-v3
7,E007,1,O celular impossível,Outro receptor,O celular de outro receptor diz que Maya vai matá-lo em sete minutos.,Maya nunca o viu. “Por que você esteve em três incidentes antes que eles acontecessem?”,Maya Vale|Ethan Cole|Detective Daniel Cross,cafe,pt-BR,155,154,59.6,PASS,9.8,PASS,EN-v3
8,E008,1,O celular impossível,O detetive,Um detetive de homicídios quer saber uma coisa: como Maya continua chegando antes dos crimes?,"Seu rosto perde a cor. “Há quanto tempo”, ele sussurra, “você recebe isso?”",Maya Vale|Ethan Cole|Detective Daniel Cross,police interview room,pt-BR,155,155,60.0,PASS,9.77,PASS,EN-v3
9,E009,1,O celular impossível,A primeira previsão dele,"O detetive viu o mesmo aplicativo impossível três anos atrás, no celular de um homem morto.",Maya namora Ethan há dois anos. Daniel percebe que outro segredo acaba de entrar no caso. Ethan nunca mencionou uma irmã desaparecida.,Maya Vale|Ethan Cole|Detective Daniel Cross,police office,pt-BR,155,159,61.5,PASS,9.8,PASS,EN-v3
10,E010,1,O celular impossível,O celular da Nora,Maya descobre que a pessoa em quem mais confia recebe vídeos do futuro há muito mais tempo do que ela.,“Não.” Alguém bate à porta.,Maya Vale|Nora Reyes|Ethan Cole,apartment,pt-BR,155,158,61.2,PASS,9.8,PASS,EN-v3
11,E011,2,Alguém está observando,A arma,"O futuro mostra Maya apontando uma pistola para Nora, mas a arma não pertence a Maya.",Horário da imagem: noite passada. Alguém esteve ao lado dela enquanto ela dormia.,Maya Vale|Nora Reyes|Detective Daniel Cross,apartment,pt-BR,155,153,59.2,PASS,9.82,PASS,EN-v3
